site_id,year_max,year_min,year_max_bd,bd_max_when_abund_max_log10,bd_max,prev_when_abund_max,prev_overall_max,year_prev_max,abund_max,abund_min,area,jurisdiction,elevation,density
11028,2016,2010,2010,0,1.69019608002851,0,0.333333333333333,2010,24,16,599,kings_canyon,3490,10.9207542738066
11029,2007,2012,2012,0,2.76117581315573,0,0.0172413793103448,2012,182,127,2869,kings_canyon,3490,37.8408530835245
11040,2011,2018,2011,1.69019608002851,1.69019608002851,0.2,0.2,2011,12,4,822,kings_canyon,3450,4.66122580390122
11221,2007,2009,2005,2.10415397500668,2.4838511926908,0.1,0.1,2007,162,0,3137,kings_canyon,3550,32.2116194670031
11491,2005,2010,2010,,3.70375392538594,,0.25,2007,64,1,2316,kings_canyon,3530,14.810356111732
11493,2005,2010,2006,,2.68717709348582,,1,2006,35,0,269,kings_canyon,3459,23.7654864972623
11495,2007,2016,2007,5.54854704301482,5.54854704301482,0.75,0.75,2007,20,0,970,kings_canyon,3459,7.15152948016361
11496,2005,2009,2007,,4.76848416916624,,1,2007,62,1,840,kings_canyon,3493,23.8235705171593
11506,2014,2011,2009,2.25720081756879,5.12702504376171,0.166666666666667,0.3125,2009,51,0,1414,kings_canyon,3469,15.1042886315427
11509,2005,2012,2010,0,5.00119388014253,0,1,2007,14,0,605,kings_canyon,3469,6.33877232389211
11513,2008,2009,2007,0,1.98677173426624,0,0.5,2007,14,4,1146,kings_canyon,3444,4.60564576115806
11516,2006,2010,2009,,2.16136800223497,,0.2,2009,2,0,903,kings_canyon,3432,0.741209411636819
11517,2005,2011,2010,0,6.4910501509457,0,0.5,2009,38,0,816,kings_canyon,3395,14.8147157110681
11518,2005,2010,2009,0,2.90087502347227,0,0.25,2009,71,0,2002,kings_canyon,3408,17.6718133903196
11520,2005,2014,2006,,2.47075213748078,,0.7,2006,30,0,788,kings_canyon,3450,11.9018082941804
11523,2005,2010,2009,,6.62109990988229,,0.333333333333333,2009,21,0,1524,kings_canyon,3444,5.99075578684943
11525,2005,2010,2009,0,3.53869937954241,0,0.125,2009,54,0,1096,kings_canyon,3456,18.165329815293
11526,2005,2011,2010,,6.88316526132993,,0.0666666666666667,2009,59,0,772,kings_canyon,3456,23.6482041649809
11530,2004,2009,2006,,1.84725338743067,,1,2006,6,0,1512,kings_canyon,3280,1.71842332719767
11532,2005,2009,2007,,2.38201704257487,,0.5,2007,6,0,625,kings_canyon,3280,2.67279743847922
11570,2009,2010,2010,0,1.69019608002851,0,1,2010,4,1,655,kings_canyon,3164,1.74058062942822
11580,2006,2010,2009,0,2.03610656130169,0,0.25,2009,5,0,859,kings_canyon,3277,1.89988899498967
11582,2007,2010,2006,0,1.98677173426624,0,0.1,2006,136,0,2824,kings_canyon,3277,28.5010832625209
11858,2005,2018,2015,2.65048133740089,6.0360099087377,0.08,0.994082840236686,2015,1134,3,1674,kings_canyon,3225,308.666951294184
11870,2011,2009,2007,0,1.98677173426624,0,0.25,2007,45,4,1956,kings_canyon,3517,11.3313823303505
11985,2006,2012,2005,0,2.28555730900777,0,0.666666666666667,2007,13,1,1366,kings_canyon,3347,3.91717349578843
11987,2007,2019,2006,2.32246004914354,4.35428135384973,0.4,0.4,2007,55,0,3140,kings_canyon,3347,10.9308181731122
12102,2006,2010,2010,3.26866980223615,3.65429369669675,1,1,2006,102,8,1867,kings_canyon,3298,26.289529731464
12503,2004,2011,2009,,2.30783395202381,,1,2009,42,4,548,kings_canyon,3444,19.9808433920416
12512,2004,2011,2007,,2.28555730900777,,0.666666666666667,2007,7,0,43,kings_canyon,3444,11.8882688212379
12562,2005,2013,2013,,4.25645314493904,,1,2015,16,1,44,kings_canyon,3569,26.8626249819957
12590,2005,2018,2016,,4.53613140510798,,0.941176470588235,2017,100,2,43,kings_canyon,3213,169.83241173197
12602,2006,2011,2006,2.59217675739587,2.59217675739587,0.4,0.4,2006,15,0,99,kings_canyon,3267,16.7891406137473
12603,2005,2009,2009,,2.65068868686995,,0.666666666666667,2006,23,15,236,kings_canyon,3261,16.6734948315057
12618,2011,2018,2016,,4.03626412810187,,0.782608695652174,2016,283,4,43,kings_canyon,3222,480.625725201476
12621,2005,2017,2016,,3.78399988512413,,0.818181818181818,2016,186,1,58,kings_canyon,3231,271.990510487565
13025,2012,2016,2012,1.98677173426624,1.98677173426624,0.024390243902439,0.024390243902439,2012,28,2,13117,kings_canyon,3290,2.72267357791271
20135,2016,2018,2017,3.18902910956472,4.34761043402279,0.0425531914893617,0.461538461538462,2017,11,2,8055,sequoia,3380,1.36494363443059
20169,2019,2018,2014,2.31406956288651,3.40568778667278,0.0555555555555556,0.1,2018,151,47,102109,sequoia,3510,5.2625924764606
20170,2019,2016,2016,0,3.77102510606179,0,0.142857142857143,2016,45,13,5008,sequoia,3510,7.08166141076703
20192,2007,2011,2008,4.90115327676805,4.94433760970111,0.282051282051282,0.4,2008,30,4,8748,sequoia,3510,3.57208407545213
20196,2005,2019,2018,,4.88765669819253,,0.571428571428571,2018,42,0,22666,sequoia,3490,3.10682401070955
20278,2004,2016,2016,,5.42259502640616,,0.2,2016,742,2,6934,sequoia,3343,99.235438097167
21081,2004,2018,2011,,4.0654499622669,,0.666666666666667,2008,180,4,4479,sequoia,3630,29.9527553038783
21091,2011,2007,2005,0,3.17289469775218,0,0.2,2005,36,0,1430,sequoia,3350,10.6020362970435
21111,2004,2016,2007,,2.91831674787823,,0.714285714285714,2007,68,4,1865,sequoia,3510,17.5357481446138
21520,2017,2019,2017,3.96859319359997,3.96859319359997,0.590909090909091,0.590909090909091,2017,6,1,2342,sequoia,3370,1.38074223562841
22008,2011,2019,2019,1.69019608002851,4.51107128838024,0.037037037037037,0.837209302325582,2017,64,17,20926,sequoia,3450,4.92710330628721
22019,2016,2016,2016,4.69461277928019,4.69461277928019,0.111111111111111,0.333333333333333,2018,1,1,65008,sequoia,3530,0.0436788707890056
