site_id,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,jurisdiction,loss_years,failed_invasion_ranking
11570,-1,-1,-1,-1,-1,0,1,1,-1,0,-1,-1,-1,-1,-1,-1,kings_canyon,,
11580,-1,-1,0,0,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,,
11581,-1,-1,1,0,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,2006 -> 2007,2
11582,-1,-1,1,0,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,2006 -> 2007,3
11858,-1,1,-1,0,0,0,-1,0,1,0,0,1,1,1,1,-1,kings_canyon,2012 -> 2013,3
11870,-1,-1,-1,1,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,kings_canyon,2007 -> 2009,2
11985,-1,1,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,kings_canyon,2005 -> 2006,2
12183,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,sequoia,,
12357,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,,
12473,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,2006 -> 2007,3
12503,-1,0,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,2007 -> 2008,3
12590,-1,-1,-1,1,-1,-1,-1,-1,1,1,0,-1,1,1,1,-1,kings_canyon,2013 -> 2014,3
12618,-1,-1,-1,0,-1,-1,-1,-1,1,0,0,-1,1,-1,1,-1,kings_canyon,2012 -> 2013,3
12621,-1,-1,-1,0,-1,0,-1,-1,1,0,0,-1,1,1,0,-1,kings_canyon,2012 -> 2013,3
13025,-1,0,-1,0,0,-1,0,-1,1,0,0,-1,0,-1,0,-1,kings_canyon,2012 -> 2013,3
20130,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,sequoia,,
20169,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,1,0,1,1,sequoia,"2014 -> 2015, 2016 -> 2017",3
