CDEC,id,name,area,depth,elevation,drainage,topo,county,jurisdiction,wilderness,utme,utmn,min_dist_km,elevation_cdec
SWM,50904,treasure lake #4,10902,,3339,owens_bishop_ck_sf_bishop_ck,mt_thompson,inyo,inyo_nf,john_muir,360374,4111692,2.45533396365254,3120
SWM,50929,treasure lake #6,8128,,3406,owens_bishop_ck_sf_bishop_ck,mt_thompson,inyo,inyo_nf,john_muir,360230,4111113,3.04835703646331,3120
SWM,52175,"""""treasure lake #5 outlet""""",145,,3399,owens_bishop_ck_sf_bishop_ck,mt_thompson,inyo,inyo_nf,john_muir,360101,4111489,2.74904666126054,3120
SWM,50967,treasure lake #5,26197,,3401,owens_bishop_ck_sf_bishop_ck,mt_thompson,inyo,inyo_nf,john_muir,360116,4111312,2.9046629335775,3120
SWM,52171,"""""treasure lake #6 outlet""""",186,,3404,owens_bishop_ck_sf_bishop_ck,mt_thompson,inyo,inyo_nf,john_muir,360229,4111212,2.95567465341517,3120
SWM,50839,treasure lake #7,34318,,3410,owens_bishop_ck_sf_bishop_ck,mt_thompson,inyo,inyo_nf,john_muir,360214,4110881,3.2728145462878,3120
TNY,70012,"",5187,0.4,2713,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,282928,4185140,5.6803590031106,2491
TNY,70013,"",5205,2,2310,merced,merced_peak,mariposa,yosemite,yosemite,284026,4180780,9.84882812014718,2491
TNY,70020,"",5299,1,2972,merced_lewis_ck_fletcher_ck,tenaya_lake,mariposa,yosemite,yosemite,290495,4183040,9.71639804640045,2491
TNY,70057,"",5958,1.1,2749,merced_echo_ck_cathedral_fk,tenaya_lake,mariposa,yosemite,yosemite,286790,4185400,5.73552939858553,2491
TNY,70068,"",6199,,3133,merced,mount_lyell,madera,yosemite,yosemite,292982,4179990,13.6512199992271,2491
TNY,70072,"",6236,1.6,2737,merced_yosemite_ck,yosemite_falls,mariposa,yosemite,yosemite,275970,4191250,8.46875073447174,2491
TNY,70073,"",6242,1.75,2207,merced,mount_lyell,madera,yosemite,yosemite,292049,4174550,17.7899760852367,2491
TNY,70081,"",6414,5.6,2761,merced_yosemite_ck,yosemite_falls,mariposa,yosemite,yosemite,277392,4192280,7.21660571380512,2491
TNY,70082,"",6447,,3280,merced,mount_lyell,madera,yosemite,yosemite,293311,4179000,14.6330047898151,2491
TNY,70101,polly dome lakes,6752,1.7,2664,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,284575,4193720,3.10082916601912,2491
TNY,70108,"",6989,1.2,2713,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,283246,4185370,5.38075818296177,2491
TNY,70113,"",7089,0.5,2932,merced_lewis_ck_fletcher_ck,vogelsang_peak,mariposa,yosemite,yosemite,291769,4183960,9.92024435431153,2491
TNY,70119,"",7205,3.5,2701,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,282077,4192020,2.72509060964018,2491
TNY,70129,"",7526,5,2627,tuolumne_return_ck,falls_ridge,tuolumne,yosemite,yosemite,284279,4201910,11.286307545815,2491
TNY,70159,"",8123,1.75,2984,merced_lewis_ck,vogelsang_peak,mariposa,yosemite,yosemite,291860,4181580,11.7100384508413,2491
TNY,70161,"",8195,0.9,2883,tuolumne_cathedral_ck,tenaya_lake,tuolumne,yosemite,yosemite,286646,4193070,3.30961646309347,2491
TNY,70166,"",8261,3.2,2932,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,286635,4192460,2.87956127259661,2491
TNY,70177,"",8658,8.25,2975,merced_lewis_ck_fletcher_ck,vogelsang_peak,mariposa,yosemite,yosemite,291029,4183020,10.0740473159074,2491
TNY,70180,"",8669,3.5,2694,merced,merced_peak,mariposa,yosemite,yosemite,289655,4177200,14.4062568914724,2491
TNY,70182,"",8712,0.1,2926,merced,mount_lyell,madera,yosemite,yosemite,292197,4177500,15.2532687614518,2491
TNY,70193,"",9049,3.5,2804,merced,mount_lyell,madera,yosemite,yosemite,291893,4174800,17.4972972003738,2491
TNY,70194,"",9075,,3024,merced,mount_lyell,madera,yosemite,yosemite,293193,4177810,15.5277211603413,2491
TNY,70220,"",10112,3,2935,merced_yosemite_ck,yosemite_falls,mariposa,yosemite,yosemite,278099,4193100,6.7851744327838,2491
TNY,70230,"",10434,0.05,3280,merced,mount_lyell,madera,yosemite,yosemite,294347,4179380,14.9978358320052,2491
TNY,70239,"",10618,5.1,2975,merced_lewis_ck_fletcher_ck,vogelsang_peak,mariposa,yosemite,yosemite,292023,4183730,10.262859249775,2491
TNY,70244,polly dome lakes (middle),10777,3.1,2664,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,284342,4193640,3.01775639222954,2491
TNY,70245,"",10797,,2198,merced,merced_peak,mariposa,yosemite,yosemite,287704,4179700,11.4047196290821,2491
TNY,70252,"",11134,0,2758,merced_clark_cyn_ck,merced_peak,mariposa,yosemite,yosemite,285050,4177640,12.99598953196,2491
TNY,70264,"",11819,11.2,3066,merced_yosemite_ck,yosemite_falls,mariposa,yosemite,yosemite,279997,4193220,5.12582259153154,2491
TNY,70276,"",12529,9,2895,tuolumne_cathedral_ck_sf,ten_lakes,tuolumne,yosemite,yosemite,279262,4196420,7.75643273703707,2491
TNY,70306,"",14180,1.5,2937,merced_echo_ck,tenaya_lake,mariposa,yosemite,yosemite,289563,4184480,8.01201062065193,2491
TNY,70313,"",14552,1.1,2493,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,281883,4188130,3.55399602717142,2491
TNY,70339,"",16029,1.3,2932,merced_echo_ck,vogelsang_peak,mariposa,yosemite,yosemite,291156,4187670,7.35620511077187,2491
TNY,70350,hidden lake,16806,7.1,2432,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,280268,4187130,5.42250244353568,2491
TNY,70376,echo lake,18833,3.5,2852,merced_echo_ck_cathedral_fk,tenaya_lake,mariposa,yosemite,yosemite,287991,4188290,4.26707552639288,2491
TNY,70378,"",19044,1.9,2554,merced_tenaya_ck_snow_ck,yosemite_falls,mariposa,yosemite,yosemite,279133,4188300,5.7710151507381,2491
TNY,70392,grant lake lower,20062,7,2822,merced_yosemite_ck,ten_lakes,mariposa,yosemite,yosemite,276706,4196270,9.55608543025431,2491
TNY,70473,"",29019,22.1,2916,merced_yosemite_ck,tenaya_lake,mariposa,yosemite,yosemite,280015,4193620,5.32469362385192,2491
TNY,70408,"",21978,6,2747,tuolumne,ten_lakes,tuolumne,yosemite,yosemite,279368,4198640,9.47304360330018,2491
TNY,70414,mcgee lake,22582,3.8,2471,tuolumne,falls_ridge,tuolumne,yosemite,yosemite,286333,4197750,7.37914214373832,2491
TNY,70415,ten lakes #3,22664,5,2750,tuolumne,ten_lakes,tuolumne,yosemite,yosemite,277538,4197880,9.99767430840505,2491
TNY,70464,sunrise lake (x) middle,27492,4.2,2794,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,284111,4186920,3.71470653161954,2491
TNY,70470,wegner lake,28497,9.5,2806,merced_yosemite_ck,yosemite_falls,mariposa,yosemite,yosemite,276790,4191260,7.65224644602945,2491
TNY,70474,florence lake lower,29140,5.5,3003,merced_lewis_ck_florence_ck,mount_lyell,madera,yosemite,yosemite,293430,4180590,13.4845454039651,2491
TNY,70479,sunrise lake lower,29497,5.4,2822,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,284362,4187430,3.19263631490621,2491
TNY,70481,"",29802,17.8,2993,merced_yosemite_ck,yosemite_falls,mariposa,yosemite,yosemite,279024,4192210,5.62083234196299,2491
TNY,70486,babcock lake,30728,4.5,2708,merced_lewis_ck_fletcher_ck,tenaya_lake,mariposa,yosemite,yosemite,288886,4181560,10.103027020486,2491
TNY,70513,"",38425,17,2884,merced_yosemite_ck,ten_lakes,mariposa,yosemite,yosemite,277304,4196410,9.16830474545416,2491
TNY,70530,"",42048,8,2871,tuolumne,ten_lakes,tuolumne,yosemite,yosemite,278293,4196940,8.79685653254352,2491
TNY,70533,ten lakes #1,43263,17,2737,tuolumne,ten_lakes,tuolumne,yosemite,yosemite,278212,4198810,10.271158938099,2491
TNY,70537,matthes lake,44579,4,2933,merced_echo_ck_cathedral_fk,tenaya_lake,mariposa,yosemite,yosemite,288885,4187500,5.4500800395674,2491
TNY,70538,ten lakes #4,44597,13.5,2813,tuolumne,ten_lakes,tuolumne,yosemite,yosemite,277706,4197200,9.39506330741006,2491
TNY,70544,mildred lake,45609,4.1,2907,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,285105,4188720,2.02287084776975,2491
TNY,70546,sunrise lake upper,46580,4.3,2873,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,284903,4187130,3.52573981947094,2491
TNY,70549,cathedral lake upper,46801,5.1,2922,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,287444,4190730,3.02825829433378,2491
TNY,70571,budd lake,52043,6.4,3040,tuolumne_budd_ck,tenaya_lake,tuolumne,yosemite,yosemite,289206,4190940,4.7985884010268,2491
TNY,70582,nelson lake,60667,5.1,2928,merced_echo_ck,vogelsang_peak,mariposa,yosemite,yosemite,290767,4187380,7.12880299715072,2491
TNY,70593,polly dome lakes,65243,3.5,2652,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,283974,4193260,2.67384443707588,2491
TNY,70606,ten lakes #2,76402,17,2727,tuolumne,ten_lakes,tuolumne,yosemite,yosemite,277967,4198240,9.9795073711518,2491
TNY,70615,ten lakes,90726,17,2865,tuolumne,ten_lakes,tuolumne,yosemite,yosemite,278971,4197720,8.94443590276192,2491
TNY,70623,cathedral lake lower,99684,9.2,2831,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,286688,4191390,2.39659008895822,2491
TNY,70635,emeric lake,112401,6.2,2846,merced_lewis_ck_fletcher_ck_emeric_ck,tenaya_lake,mariposa,yosemite,yosemite,289961,4183790,8.7974927097201,2491
TNY,70654,may lake,214623,10,2843,merced_tenaya_ck_snow_ck,tenaya_lake,mariposa,yosemite,yosemite,280643,4191820,3.95878831814006,2491
TNY,70659,merced lake,247841,24,2198,merced,merced_peak,mariposa,yosemite,yosemite,287358,4179520,11.4837572388842,2491
TNY,70674,tenaya lake,719904,31,2484,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,283457,4189940,1.17790145676187,2491
TNY,70702,"",12769,0.05,3170,merced,mount_lyell,madera,yosemite,yosemite,293928,4178650,15.2883562529768,2491
TNY,70703,"",12434,0.05,3255,merced,mount_lyell,madera,yosemite,yosemite,294138,4179180,15.0121574459162,2491
TNY,70704,washburn lake,212865,26,2318,merced,mount_lyell,madera,yosemite,yosemite,290924,4176860,15.2210745876899,2491
TNY,70718,"",20752,,2198,merced,merced_peak,mariposa,yosemite,yosemite,287634,4179300,11.7689361232051,2491
TNY,71035,"",175,,2530,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,284734,4195850,5.23605666113917,2491
TNY,71134,"",253,0.35,2664,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,283801,4194010,3.44232546518633,2491
TNY,71169,"",272,,2530,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,284572,4196440,5.81842572696298,2491
TNY,71188,"",280,,2640,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,283800,4193960,3.39333421870266,2491
TNY,74012,"",302,0.75,2749,tuolumne,ten_lakes,tuolumne,yosemite,yosemite,277935,4198820,10.4486052974764,2491
TNY,71285,"",321,,2591,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,286313,4196350,6.0319775893561,2491
TNY,71302,"",331,0.25,2664,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,284193,4193540,2.92543253367898,2491
TNY,71307,"",333,,2591,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,286334,4196290,5.98175023268951,2491
TNY,71330,"",346,0.35,2652,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,284078,4193540,2.93647822401526,2491
TNY,71331,"",348,0.25,2927,tuolumne_return_ck,falls_ridge,tuolumne,yosemite,yosemite,284228,4201730,11.1071003976127,2491
TNY,71332,"",348,,2853,tuolumne,ten_lakes,tuolumne,yosemite,yosemite,278561,4196570,8.34500103350537,2491
TNY,71338,"",351,0.7,2542,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,284658,4195830,5.21203245878963,2491
TNY,71345,"",353,0.6,2652,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,283719,4194070,3.51671342069843,2491
TNY,71347,"",354,0.4,2627,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,283759,4193860,3.30298907535287,2491
TNY,71353,"",355,0.01,2920,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,287606,4190680,3.18884642214655,2491
TNY,71355,"",358,0.5,2627,tuolumne_return_ck,falls_ridge,tuolumne,yosemite,yosemite,284341,4202050,11.4256949629251,2491
TNY,71373,"",366,0.25,2920,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,287584,4190580,3.16662247505275,2491
TNY,71377,"",368,0.3,2664,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,284257,4193560,2.94119488401103,2491
TNY,71384,"",370,0.4,2664,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,284144,4193600,2.9893264826423,2491
TNY,71397,"",382,0.7,2627,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,283721,4193860,3.31076707682517,2491
TNY,71411,"",387,0.3,2664,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,284128,4193510,2.90127941751186,2491
TNY,71432,"",395,,2603,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,286432,4196520,6.23101524331667,2491
TNY,71485,"",421,0.75,2947,tuolumne,ten_lakes,tuolumne,yosemite,yosemite,278585,4196770,8.47211222465896,2491
TNY,71492,"",425,0.75,2701,merced_tenaya_ck,tenaya_lake,mariposa,yosemite,yosemite,280805,4190230,3.63276418693618,2491
TNY,71514,"",440,0.35,2530,tuolumne_cathedral_ck,falls_ridge,tuolumne,yosemite,yosemite,284712,4195840,5.2247890779289,2491
TNY,71536,"",454,0.5,2627,tuolumne_return_ck,falls_ridge,tuolumne,yosemite,yosemite,284394,4202110,11.4854564601832,2491
TNY,71550,"",461,0.6,2579,merced_tenaya_ck_murphy_ck,tenaya_lake,tuolumne,yosemite,yosemite,283524,4194210,3.69620996500375,2491
TNY,71552,"",463,0.3,2652,merced_tenaya_ck_murphy_ck,tenaya_lake,mariposa,yosemite,yosemite,284024,4193670,3.07206399560409,2491
TNY,71554,"",463,0.25,2579,merced_tenaya_ck_murphy_ck,tenaya_lake,tuolumne,yosemite,yosemite,283546,4194190,3.67152891836617,2491
TNY,71579,"",478,0.3,2847,merced_echo_ck,tenaya_lake,mariposa,yosemite,yosemite,289488,4187000,6.23097937139194,2491
TNY,71624,"",508,,2847,merced_echo_ck_cathedral_fk,tenaya_lake,mariposa,yosemite,yosemite,285891,4185500,5.32963061439482,2491
TNY,71634,"",514,0.3,2859,merced_echo_ck_cathedral_fk,tenaya_lake,mariposa,yosemite,yosemite,285971,4185410,5.43847322555356,2491
